iter	Passed	Remaining
881	35360	4730
882	35401	4690
883	35441	4650
884	35479	4610
885	35519	4570
886	35559	4530
887	35603	4490
888	35641	4450
889	35679	4409
890	35719	4369
891	35759	4329
892	35797	4289
893	35838	4249
894	35879	4209
895	35920	4169
896	35958	4128
897	35998	4088
898	36035	4048
899	36077	4008
900	36118	3968
901	36157	3928
902	36197	3888
903	36237	3848
904	36276	3808
905	36319	3768
906	36357	3727
907	36401	3688
908	36440	3648
909	36485	3608
910	36524	3568
911	36565	3528
912	36607	3488
913	36647	3448
914	36684	3407
915	36723	3367
916	36763	3327
917	36802	3287
918	36820	3245
919	36857	3204
920	36896	3164
921	36936	3124
922	36978	3084
923	37019	3044
924	37061	3005
925	37103	2965
926	37145	2925
927	37191	2885
928	37216	2844
929	37255	2804
930	37293	2763
931	37336	2724
932	37373	2683
933	37416	2643
934	37454	2603
935	37494	2563
936	37531	2523
937	37570	2483
938	37612	2443
939	37659	2403
940	37709	2364
941	37752	2324
942	37792	2284
943	37833	2244
944	37846	2202
945	37888	2162
946	37930	2122
947	37973	2082
948	38013	2042
949	38052	2002
950	38092	1962
951	38133	1922
952	38173	1882
953	38212	1842
954	38252	1802
955	38293	1762
956	38337	1722
957	38377	1682
958	38417	1642
959	38460	1602
960	38503	1562
961	38543	1522
962	38589	1482
963	38628	1442
964	38668	1402
965	38710	1362
966	38749	1322
967	38797	1282
968	38842	1242
969	38886	1202
970	38930	1162
971	38972	1122
972	39015	1082
973	39059	1042
974	39102	1002
975	39148	962
976	39186	922
977	39226	882
978	39266	842
979	39303	802
980	39346	762
981	39384	721
982	39424	681
983	39463	641
984	39503	601
985	39543	561
986	39589	521
987	39628	481
988	39666	441
989	39710	401
990	39752	361
991	39796	320
992	39839	280
993	39877	240
994	39918	200
995	39963	160
996	40008	120
997	40046	80
998	40085	40
999	40124	0
